N°,Industry Grp Investors.com,Industry Grp Data-Table
1,Aerospace/Defense,Aerospace/Defense
2,Agricultural Operations,Agricultural Oprtions
3,Apparel-Clothing Mfg,Apprel-Clthing Mfg
4,Apparel-Shoes & Rel Mfg,Apparel-Shoes & Rel
5,Auto Manufacturers,Auto Manufacturers
6,Auto/Truck-Original Eqp,Auto/Trck-Orgnl Eqp
7,Auto/Truck-Replace Parts,Auto/Trck-Rplc Prts
8,Auto/Truck-Tires & Misc,Auto/Trck-Tirs & M
9,Banks-Foreign,Banks-Foreign
10,Banks-Midwest,Banks-Midwest
11,Banks-Money Center,Banks-Money Cntr
12,Banks-Northeast,Banks-Northeast
13,Banks-Southeast,Banks-Southeast
14,Banks-West/Southwest,Banks-Wst/Sthwst
15,Beverages-Alcoholic,Beverages-Alcoholic
16,Beverages-Non-Alcoholic,Bev-Non-Alcoholic
17,Bldg-A/C & Heating Prds,Bldg-A/C & Heating P
18,Bldg-Cement/Concrt/Ag,Bldg-Cment/Cncrt
19,Bldg-Constr Prds/Misc,Bldg-Cnstr Prds/Msc
20,Bldg-Hand Tools,Bldg-Hand Tools
21,Bldg-Heavy Construction,Bldg-Heavy Constr
22,Bldg-Maintenance & Svc,Bldg-Mntnance & S
23,Bldg-Mobile/Mfg & Rv,Bldg-Mbile/Mfg & Rv
24,Bldg-Resident/Comml,Bldg-Rsidnt/Comml
25,Bldg-Wood Prds,Bldg-Wood Prds
26,Chemicals-Agricultural,Chemicals-Ag
27,Chemicals-Basic,Chemicals-Basic
28,Chemicals-Paints,Chemicals-Paints
29,Chemicals-Plastics,Chemicals-Plastics
30,Chemicals-Specialty,Chemicals-Specialty
31,Comml Svcs-Advertising,Coml Svcs-Advrtsng
32,Comml Svcs-Consulting,Cmml Svcs-Cnsltng
33,Comml Svcs-Document Mgmt,Comml Svc-Doc Mgmt
34,Comml Svcs-Healthcare,Comml Svcs-Hlthcre
35,Comml Svcs-Leasing,Comml Svcs-Leasing
36,Comml Svcs-Market Rsrch,Cmml Svcs-Mrkt Rch
37,Comml Svcs-Market Rsrch,Media-Periodicals
38,Comml Svcs-Outsourcing,Comml Svc-Outsourci
39,Comml Svcs-Staffing,Comml Svcs-Stffng
40,Comp Sftwr-Spec Enterprs,Cmp Sftwr-Spc-Entr
41,Computer Sftwr-Database,Cmp Sftwr-Dbase
42,Computer Sftwr-Design,Compter Sftwr-Dsgn
43,Computer Sftwr-Desktop,Comptr Sftwr-Dsktp
44,Computer Sftwr-Edu/Media,Cmptr Sftwr-Edu
45,Computer Sftwr-Enterprse,Comptr Sftwr-Entr
46,Computer Sftwr-Financial,Comptr Sftwr-Fincl
47,Computer Sftwr-Gaming,Cmp Sftwr-Gaming
48,Computer Sftwr-Medical,Comptr Sftwr-Mdcl
49,Computer Sftwr-Security,Comptr Sftwr-Scrity
50,Computer-Data Storage,Comptr-Data Strge
51,Computer-Hardware/Perip,Cmp-Hrdwre/Perip
52,Computer-Integrated Syst,Cmptr-Intgrtd Syst
53,Computer-Networking,Compter-Netwrking
54,Computer-Tech Services,Cmpter-Tech Srvcs
55,Consumer Prod-Electronic,Consumer Prod-Elec
56,Consumer Prod-Specialty,Consumr Prod-Speci
57,Consumer Svcs-Education,Consumr Svc-Edcation
58,Containers/Packaging,Containers/Packaging
59,Cosmetics/Personal Care,Cosmetics/Persnl Cre
60,Diversified Operations,Dvrsified Oprtions
61,Elec-Contract Mfg,Elec-Contract Mfg
62,Elec-Misc Products,Elec-Misc Products
63,Elec-Scientific/Msrng,Elec-Scntific/Msrng
64,Elec-Semicondctor Fablss,Elec-Semicon Fblss
65,Elec-Semiconductor Equip,Elec-Semicndctr Eqp
66,Elec-Semiconductor Mfg,Elec-Semicon Mfg
