TICKER,Industry Group
A,Med-Resrch Eqp/Svc
AA,Mining-Metal Ores
AACG,Consumr Svc-Edcation
AACI,Finance-Blank Check
AACT,Finance-Blank Check
AADI,Medical-Biomed/Bth
AAIC,Fnce-Invsmnt Mgt
AAL,Trnsprttin-Airlne
AAMC,Fin-Mrtg&Rel Svc
AAME,Insrnce-Prp/Cas/Titl
AAN,Rtail-Hme Frnshngs
AAOI,Telcom-Fibr Optcs
AAON,Bldg-A/C & Heating P
AAP,Retail/Wsl-Auto Prt
AAPL,Telcom-Cons Prod
AAT,Finance-Property Reit
AAU,Mining-Metal Ores
AB,Fnce-Invsmnt Mgt
ABAT,Mining-Metal Ores
ABBV,Medical-Ethical Drgs
ABCB,Banks-Southeast
ABCL,Medical-Biomed/Bth
ABEO,Medical-Biomed/Bth
ABEV,Beverages-Alcoholic
ABG,Retail/Whlsle-Auto
ABIO,Medical-Biomed/Bth
ABL,Fnce-Invsmnt Mgt
ABM,Bldg-Mntnance & S
ABNB,Leisre-Trvl Bking
ABOS,Medical-Biomed/Bth
ABR,Finance-Mrtg-Reit
ABSI,Medical-Generc Drgs
ABT,Medical-Diversified
ABUS,Medical-Biomed/Bth
ABVC,Medical-Biomed/Bth
AC,Fnce-Invsmnt Mgt
ACA,Bldg-Cnstr Prds/Msc
ACAB,Finance-Blank Check
ACAC,Finance-Blank Check
ACAD,Medical-Biomed/Bth
ACB,Consumr Prod-Speci
ACCD,Med-Managed Care
ACCO,Office Supplies Mfg
ACDC,Oil&Gas-Field Servic
ACEL,Leisre-Gamng/Equip
ACET,Medical-Biomed/Bth
ACGL,Insrnce-Prp/Cas/Titl
ACHC,Mdcal-Outpnt/Hm Cr
ACHL,Medical-Biomed/Bth
ACHR,Aerospace/Defense
ACHV,Medical-Biomed/Bth
ACI,Retail-Spr/Mini Mkts
ACIC,Insrnce-Prp/Cas/Titl
ACIU,Medical-Biomed/Bth
ACIW,Comptr Sftwr-Fincl
ACLS,Elec-Semicndctr Eqp
ACLX,Medical-Biomed/Bth
ACM,Bldg-Heavy Constr
ACMR,Elec-Semicndctr Eqp
ACN,Cmpter-Tech Srvcs
ACNB,Banks-Northeast
ACNT,Steel-Spclty Alloys
ACON,Medical-Biomed/Bth
ACOR,Medical-Biomed/Bth
ACR,Finance-Mrtg-Reit
ACRE,Finance-Mrtg-Reit
ACRO,Finance-Blank Check
ACRS,Medical-Generc Drgs
ACRV,Medical-Biomed/Bth
ACRX,Medical-Biomed/Bth
ACST,Medical-Biomed/Bth
ACT,Fin-Mrtg&Rel Svc
ACTG,Elec-Misc Products
ACU,Office Supplies Mfg
ACV,Financ-Pbl Inv Fdeqt
ACVA,Retail/Whlsle-Auto
ACXP,Medical-Biomed/Bth
ADAP,Medical-Biomed/Bth
ADBE,Comptr Sftwr-Dsktp
ADC,Finance-Property Reit
ADCT,Medical-Biomed/Bth
ADEA,Internet-Content
ADES,Chemicals-Specialty
ADEX,Finance-Blank Check
ADI,Elec-Semicon Mfg
ADIL,Medical-Biomed/Bth
ADM,Food-Grain & Related
ADMA,Medical-Biomed/Bth
ADN,Energy-Alt/Other
ADNT,Auto/Trck-Orgnl Eqp
ADOC,Finance-Blank Check
ADP,Comml Svc-Outsourci
ADPT,Medical-Biomed/Bth
ADSK,Compter Sftwr-Dsgn
ADT,Security/Sfty
ADTH,Coml Svcs-Advrtsng
ADTN,Telcom-Cbl/Sat Eqp
ADTX,Medical-Biomed/Bth
ADUS,Mdcal-Outpnt/Hm Cr
ADV,Cmml Svcs-Cnsltng
ADVM,Medical-Biomed/Bth
AE,Oil&Gas-Rfing/Mkt
AEAE,Finance-Blank Check
AEE,Utility-Diversified
AEHR,Elec-Semicndctr Eqp
AEI,Real State Dvlpmt/Ops
AEIS,Elec-Semicndctr Eqp
AEL,Insurance-Life
AEM,Mining-Gld/Silvr/Gms
AEMD,Medical-Products
